Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,district,area_comfort
78000.0,2.0,1696.0,5,11,2018,46.0,20.0,20.0,Райдужна,Дніпровський,6.0
138000.0,2.0,1811.0,3,15,2014,69.0,37.0,14.0,Ломоносова,Голосіївський,18.0
105000.0,2.0,1504.0,4,25,2014,69.0,37.0,14.0,Гусовського,Печерський,18.0
66016.1,1.0,1784.2,8,18,2009,37.0,37.0,14.0,Гусовського,Печерський,0.0
284000.0,2.0,2812.0,7,11,2004,101.0,37.0,14.0,Гусовського,Печерський,50.0
61000.0,1.0,1743.0,8,9,1974,35.0,17.0,6.0,Гусовського,Печерський,12.0
49899.0,1.0,1386.0,1,9,1978,36.0,18.0,7.0,Багговутівська,Шевченківський,11.0
165000.0,4.0,1213.0,11,12,2019,136.0,100.0,30.0,Багговутівська,Шевченківський,6.0
100000.0,1.0,2273.0,3,11,2019,44.0,37.0,10.0,Багговутівська,Шевченківський,0.0
85000.0,2.0,1312.0,17,25,2009,69.0,38.0,14.0,Багговутівська,Шевченківський,17.0
70000.0,2.0,1273.0,4,5,1938,55.0,39.0,8.0,Багговутівська,Шевченківський,8.0
70000.0,2.0,1167.0,7,12,2019,60.0,26.0,14.0,Багговутівська,Шевченківський,20.0
75000.0,2.0,1250.0,4,5,1938,60.0,45.0,9.0,Багговутівська,Шевченківський,6.0
185000.0,3.0,1745.0,8,25,2016,106.0,37.0,38.0,Героїв Севастополя,Солом'янський,31.0
48700.0,1.0,991.0,19,25,2009,69.0,37.0,14.0,Балтійський,Оболонський,18.0
49700.0,1.0,1012.0,19,25,2020,69.0,18.0,18.0,Балтійський,Оболонський,33.0
380000.0,3.0,1990.0,15,47,2012,191.0,37.0,14.0,Балтійський,Оболонський,140.0
63000.0,2.0,808.0,22,25,2009,78.0,36.0,12.0,Балтійський,Оболонський,30.0
63500.0,2.0,814.0,22,25,2009,78.0,36.0,12.0,Балтійський,Оболонський,30.0
54500.0,1.0,996.0,23,25,2009,69.0,37.0,12.0,Балтійський,Оболонський,20.0
40000.0,1.0,995.0,14,25,2009,69.0,37.0,12.0,Балтійський,Оболонський,20.0
130000.0,2.0,2600.0,1,5,1964,50.0,37.0,12.0,Німанська,Печерський,1.0
62000.0,2.0,1378.0,2,5,1968,45.0,30.0,7.0,Німанська,Печерський,8.0
31000.0,1.0,1107.0,9,9,1986,28.0,13.0,6.0,Берковецька,Святошинський,9.0
41187.0,1.0,936.0,3,13,2009,44.0,19.0,11.0,Берковецька,Святошинський,14.0
740000.0,1.0,2772.0,20,24,2019,267.0,150.0,75.0,Антоновича,"Голосіївський, Печерський",42.0
250000.0,3.0,1538.0,10,22,2001,69.0,50.0,20.0,Антоновича,"Голосіївський, Печерський",0.0
225000.0,2.0,4500.0,8,23,2019,50.0,37.0,14.0,Антоновича,"Голосіївський, Печерський",0.0
